AC,18,18.6,20.5,23.5,27.1,28.9,30.3,31.1,29.9,28.2,25.1,19.6,0.582
AL,29.6,29.6,29.2,28.3,27.3,26.5,26.2,26.4,27.4,28.5,29.2,28.9,0.583
AP,29.3,28.8,29.6,29.5,29.9,30.3,31,31.9,32.7,32.9,32.2,30.7,0.505
AM,19.4,19.3,19,18.9,18.5,17.6,17,17.3,18,19.3,19.8,19.9,0.693
BA,34.1,32.6,31.1,31.4,31.6,32.8,33.8,34.8,35.3,35.6,35.2,34.6,0.577
CE,30,29.8,29.5,29.3,29.4,29.4,29.1,29.3,29.9,30.2,30.4,30.1,0.546
DF,26.7,26.9,26.7,26.3,25.7,25.3,26.5,27.9,27.9,27,26.3,26.5,0.515
ES,31.1125,31.925,31.35,29.5875,28.1875,26.925,26.375,27.0375,27.1625,28.25,29.2375,29.95,0.559
GO,28.9,29.3,29.1,27.8,26.9,27,29.1,30.2,30.5,29.4,28.4,28.7,0.548
MA,30.4,30,30.2,30.5,30.6,30.5,31,31.6,31.9,32.2,32.1,31.4,0.628
MT,33,32.3,31.5,30.8,30.1,29.5,29.6,30.5,31.9,32.9,33.2,33.2,0.636
MS,29.7,30.5,29.9,28.4,26.8,26.5,27.8,28.5,29.2,30.7,30.3,30,0.645
MG,28.5,28.3,27.5,26.1,24.7,24.3,25.2,26.4,27.3,27.5,27.2,27,0.618
PA,29.5,29.2,28.9,27.7,25.9,24.4,23.8,24.5,26.3,28,29,29.2,0.703
PB,30.5,30.1,30.1,29.7,28.5,27.2,27.4,27.9,29,29.6,29.9,29.8,0.556
PR,32,30.3,28.4,22.8,20.5,16.8,17.3,19.3,21.1,23.7,27.7,29.8,0.514
PE,30.1,30.1,30,29.3,28.7,27.6,27.1,27.6,28.4,29.3,29.7,29.5,0.574
PI,31.3,30.8,31.5,31.6,32.1,32.9,33.5,35.4,36.3,35.8,34.9,33.6,0.582
RJ,30,29.7,28.8,27.2,25.5,24.9,24.5,25,25.4,26.1,27.3,28.2,0.580
RN,31,31,30.7,30.3,29.5,28.4,28,28.4,29.3,30.1,30.5,30.9,0.519
RS,27.8,27.4,26.3,23,19.9,17.4,16.4,17.4,18.6,20.9,23.4,26.3,0.574
RO,30.6,28.9,30.6,30.6,30.4,31.5,32.7,32.8,32.5,31.6,30.9,31.1,0.514
RR,33.4,32.6,32.6,32.1,31.1,31,31,31.6,32.2,32.3,33.1,33.4,0.575
SC,32.3,31.3,29.4,25.7,22.4,20.5,21.9,23.7,25.7,28.7,30.7,29.7,0.509
SP,26.2,26,25.1,23.3,21.5,20.8,20.8,21.7,22.7,23.4,24.5,25,0.717
SE,29.6,29.4,29.8,29.3,28.3,27.4,26.8,27,27.8,28.4,28.9,29.3,0.545
TO,31.4,31.8,31.3,32.3,33.1,33.5,33.9,34.7,34.7,32.8,31.7,31.8,0.647
